batiment_groupe_id,s_geom_groupe
24322000AL0008_b9bd5c73cbcdbb3,79
24322000AL0009_ab8495987f71b98,19
24322000AL0010_92378ac8aec8cd6,78
24322000AL0011_1a69719c1ed91b7,75
24322000AL0012_eacf6e8cb0bb193,80
24322000AL0013_8369d72469b8a80,72
24322000AL0014_c873b5f1318336c,19
24322000AL0015_aa15ebcb67dfde6,76
24322000AL0016_95138b09645cb44,74
24322000AL0017_317c61d594d7f49,280
24322000AL0017_93126b862668ae4,543
24322000AL0018_5de68ee29706e3d,59
24322000AL0019_663aab1b0d1a15b,52
24322000AL0020_db90babfa73cde9,77
24322000AL0021_5e089a440ffa7d3,165
24322000AL0026_1a108956230083c,99
24322000AL0027_34208400b6413e6,81
24322000AL0027_a02148037dcf1a2,90
24322000AL0028_1ea6072345811b8,140
24322000AL0029_57a32b84905cb3c,100
24322000AL0030_5c456dc1220da40,85
24322000AL0033_cacc2a8b3accfef,64
24322000AL0036_8e5d79da4bb296a,55
24322000AL0037_baf66bb2644b63d,48
24322000AL0038_f182036a0f3bd9f,49
24322000AL0039_cf3a73572fd19c9,137
24322000AL0040_b876be328fb55a6,58
24322000AL0041_fd6338cce55a705,103
24322000AL0043_f7c118b4360b743,101
24322000AL0045_d4cb72a162a2697,135
24322000AL0046_9cbb8d4869497bd,49
24322000AL0047_69853fd4b0dacfa,46
24322000AL0048_f073e803e886ffb,72
24322000AL0050_14fd0d0a0e9e821,57
24322000AL0051_7e29c492ac39b7a,61
24322000AL0055_676840ee94a471b,95
24322000AL0056_b538d5160b440a5,28
24322000AL0057_ae923ace391630b,54
24322000AL0058_bff48436ddc2824,43
24322000AL0059_0c524771b2c0fd2,73
24322000AL0060_92e3b066ffa8452,74
24322000AL0062_75a41cab7bade1f,246
24322000AL0063_e18eeacdf27002b,161
24322000AL0064_978204e3a2cbec1,34
24322000AL0065_731a79e1617f41d,78
24322000AL0066_1e5fa5d5302517e,94
24322000AL0067_6a27ff84f1930dd,110
24322000AL0068_998806e016116de,72
24322000AL0069_2983c229ae60ec1,68
24322000AL0070_e016724a17f7f58,81
24322000AL0075_d22b918556a3097,61
24322000AL0077_441aeffea4b13f5,72
24322000AL0078_d6357f5b4fe9418,65
24322000AL0079_dd155a5c29390e6,128
24322000AL0080_79402e2c4254c6c,103
24322000AL0081_898971af3f22ade,123
24322000AL0082_f1f435ee47503e7,88
24322000AL0085_0b45abe1df68a79,145
24322000AL0086_4fe92b81abced2c,108
24322000AL0087_56bd3200d76fc30,70
24322000AL0088_240d805fba9fc2c,75
24322000AL0090_8f24403eea4fe78,95
24322000AL0091_508ebaa996fe439,85
24322000AL0092_c9069a9dc83a7bc,61
24322000AL0093_273f1f77797fdd3,12
24322000AL0094_18ca73e3ca12e18,69
24322000AL0095_82f407d0618a165,64
24322000AL0096_073bbd53f78922d,71
24322000AL0097_8e1f30ee2a944c2,73
24322000AL0098_1cec162a62128e7,63
24322000AL0099_f783db62b3b0c18,74
24322000AL0100_37c7fa75725620c,64
24322000AL0102_9a35470077867c2,92
24322000AL0103_64d2b3925804c95,72
24322000AL0104_d7c6afa4196144a,84
24322000AL0105_576cfdc3e73ee99,105
24322000AL0106_3060d3056ffeec9,97
24322000AL0107_6271316f48e3837,83
24322000AL0108_553e31d0c1f44d5,94
24322000AL0109_018debd4c2ba58a,72
24322000AL0110_a2ef09b478e8ba7,75
24322000AL0111_e0db0ee5e0564a1,98
24322000AL0112_c8f1955b92e0c32,85
24322000AL0113_f4ca4b1252e38aa,117
24322000AL0114_454557895db0665,34
24322000AL0114_6dc6fb7ab325b1c,109
24322000AL0115_1f9494b3ae9268f,42
24322000AL0116_96f89f0d03dc957,125
24322000AL0117_47b85fb6627432d,78
24322000AL0118_31ecdd7d32bf5b1,93
24322000AL0119_75d08c7961fe9bf,73
24322000AL0120_f8fd92b7241406e,72
24322000AL0121_74d75519bac99fb,73
24322000AL0122_499bd421e6adab2,68
24322000AL0124_3636e651edfc057,56
24322000AL0125_b2775f23c43c288,86
24322000AL0126_7404d204cf96aef,93
24322000AL0127_933546af71b31a0,94
24322000AL0131_7cf90368fe03091,49
24322000AL0132_7ebb789c626d795,74
24322000AL0133_dd7ae53ec23bed0,39
24322000AL0134_4e265fa7ac36bd3,64
24322000AL0135_ee2308e4b3e5922,79
24322000AL0136_7f25f4c6098a3a4,67
24322000AL0137_1d58602b7380174,43
24322000AL0137_7913c04d5fee016,75
24322000AL0138_e9dfcae1a1379bc,67
24322000AL0139_f6f85505cab5167,60
24322000AL0140_7a3cde82fdaf473,57
24322000AL0141_b15ca66cfabedfc,133
24322000AL0144_20a2cfba38a789c,18
24322000AL0147_02cb36966abe6fb,113
24322000AL0148_2ebaaf23a2804ce,75
24322000AL0149_31ef3b4104ef4bd,66
24322000AL0158_3cb6dfff463fdb3,93
