fid,batiment_c,batiment_g,code_depar,code_iris,code_commu,s_geom_cst,hauteur,altitude_s,fictive_ge
75644,BATIMENT0000000245187520-2,75111000AO0028_427158f97d92e0e,"75","751114106","75056","195",22.399999999999999,35.000000000000000,"0"
75645,BATIMENT0000000245187521-3,75111000AO0028_427158f97d92e0e,"75","751114106","75056","195",9.300000000000001,35.000000000000000,"0"
75646,BATIMENT0000000253252331-2,75111000AO0021_b89956af8fdccb3,"75","751114106","75056","274",4.100000000000000,35.000000000000000,"0"
75647,BATIMENT0000000253252354-1,75111000AO0021_b89956af8fdccb3,"75","751114106","75056","368",13.300000000000001,35.000000000000000,"0"
75648,BATIMENT0000000245186698-2,75111000AP0044_da3b01fcb648f1b,"75","751114209","75056","223",7.200000000000000,35.000000000000000,"0"
75649,BATIMENT0000000245187454-2,75111000AP0044_da3b01fcb648f1b,"75","751114209","75056","253",17.199999999999999,35.000000000000000,"0"
75650,BATIMENT0000000253252385-2,75111000AP0044_da3b01fcb648f1b,"75","751114209","75056","392",8.699999999999999,35.000000000000000,"0"
75651,BATIMENT0000000245187129-2,75111000AO0055_e14abb0615cd023,"75","751114106","75056","298",18.899999999999999,34.200000000000003,"0"
75652,BATIMENT0000000245187135-2,75111000AO0055_e14abb0615cd023,"75","751114106","75056","243",13.900000000000000,34.200000000000003,"0"
75653,BATIMENT0000000245187313-2,75111000AO0055_e14abb0615cd023,"75","751114106","75056","137",19.500000000000000,34.399999999999999,"0"
75654,BATIMENT0000000245186689-1,75111000AP0052_d8b8fcf45abea9a,"75","751114209","75056","1189",26.600000000000001,34.500000000000000,"0"
75655,BATIMENT0000000245187073-1,75111000AP0052_d8b8fcf45abea9a,"75","751114209","75056","25",10.300000000000001,34.399999999999999,"0"
75658,BATIMENT0000000245187457-3,75111000AP0098_d57d06884bad246,"75","751114209","75056","464",5.400000000000000,35.000000000000000,"0"
75659,BATIMENT0000000245187458-7,75111000AP0098_d57d06884bad246,"75","751114209","75056","1406",19.800000000000001,35.000000000000000,"0"
75660,BATIMENT0000000253252366-2,75111000AP0098_d57d06884bad246,"75","751114209","75056","556",0.600000000000000,35.000000000000000,"0"
75661,BATIMENT0000000245187123-4,75111000AO0064_25eba20a50b71b5,"75","751114106","75056","1412",14.900000000000000,34.200000000000003,"0"
75662,BATIMENT0000000245187136-1,75111000AO0064_25eba20a50b71b5,"75","751114106","75056","229",10.600000000000000,34.200000000000003,"0"
75663,BATIMENT0000000245187137-1,75111000AO0064_25eba20a50b71b5,"75","751114106","75056","181",8.199999999999999,34.200000000000003,"0"
75664,BATIMENT0000000245187497-2,75111000AO0075_c6a618e3e809742,"75","751114106","75056","123",9.300000000000001,34.200000000000003,"0"
75665,BATIMENT0000000245187498-2,75111000AO0075_c6a618e3e809742,"75","751114106","75056","159",20.100000000000001,34.200000000000003,"0"
75666,BATIMENT0000000253252369-1,75111000AP0007_60b5ab9b915bf17,"75","751114209","75056","71",8.600000000000000,35.000000000000000,"0"
75667,BATIMENT0000000253252373-1,75111000AP0007_60b5ab9b915bf17,"75","751114209","75056","422",18.699999999999999,35.000000000000000,"0"
75668,BATIMENT0000000253252371-1,75111000AP0010_d2bc341c87f99c8,"75","751114209","75056","738",18.000000000000000,35.000000000000000,"0"
75669,BATIMENT0000000309676036-1,75111000AP0010_d2bc341c87f99c8,"75","751114209","75056","1764",12.100000000000000,35.000000000000000,"0"
75670,BATIMENT0000000253252383-4,75111000AP0045_5bd54b91f20c057,"75","751114209","75056","215",4.600000000000000,35.000000000000000,"0"
75671,BATIMENT0000000253252388-3,75111000AP0045_5bd54b91f20c057,"75","751114209","75056","601",15.199999999999999,35.000000000000000,"0"
75672,BATIMENT0000000245187102-3,75111000AP0018_6658d1f6d033e30,"75","751114209","75056","489",9.699999999999999,35.000000000000000,"0"
75673,BATIMENT0000000245187103-2,75111000AP0018_6658d1f6d033e30,"75","751114209","75056","488",20.100000000000001,35.000000000000000,"0"
75674,BATIMENT0000000316910554-2,75111000AS0005_c75be50d6dcd5fe,"75","751114203","75056","475",23.800000000000001,47.500000000000000,"0"
75675,BATIMENT0000000316910570-2,75111000AS0005_c75be50d6dcd5fe,"75","751114203","75056","724",6.400000000000000,45.399999999999999,"0"
75678,BATIMENT0000000245187489-1,75111000AP0033_0dc3199d4df43f9,"75","751114209","75056","58",5.500000000000000,35.000000000000000,"0"
75679,BATIMENT0000000245187490-2,75111000AP0033_0dc3199d4df43f9,"75","751114209","75056","559",23.000000000000000,35.000000000000000,"0"
75680,BATIMENT0000000240754646-1,75111000AR0015_91fc1b14d8a2446,"75","751114210","75056","307",11.199999999999999,37.000000000000000,"0"
75681,BATIMENT0000000240754647-1,75111000AR0015_91fc1b14d8a2446,"75","751114210","75056","347",21.600000000000001,37.000000000000000,"0"
75682,BATIMENT0000000240754537-3,75111000AR0047_26363755def96ce,"75","751114210","75056","256",24.899999999999999,37.100000000000001,"0"
75683,BATIMENT0000000240755698-1,75111000AR0047_26363755def96ce,"75","751114210","75056","98",22.800000000000001,38.100000000000001,"0"
75686,BATIMENT0000000240754545-2,75111000AR0056_0ff0d883ae87909,"75","751114210","75056","76",8.400000000000000,37.100000000000001,"0"
75687,BATIMENT0000000240755695-3,75111000AR0056_0ff0d883ae87909,"75","751114210","75056","427",18.000000000000000,37.100000000000001,"0"
75688,BATIMENT0000000245187440-2,75111000AP0067_4656a96b84ad0eb,"75","751114209","75056","163",18.199999999999999,34.399999999999999,"0"
75689,BATIMENT0000000245187441-3,75111000AP0067_4656a96b84ad0eb,"75","751114209","75056","195",8.000000000000000,34.399999999999999,"0"
75690,BATIMENT0000000240756196-1,75111000AR0079_c6571788673f56a,"75","751114210","75056","90",7.900000000000000,42.000000000000000,"0"
75691,BATIMENT0000000240756197-2,75111000AR0079_c6571788673f56a,"75","751114210","75056","108",10.800000000000001,41.000000000000000,"0"
75692,BATIMENT0000000240757157-1,75111000AR0098_16a133bc6c68e4f,"75","751114210","75056","348",19.000000000000000,42.399999999999999,"0"
